2026-08-01T12:18:37.819129+0500 | INFO | app.services.enhanced_processor:load_data:67 | 🔗 Mappings: {'job_position': '\ufeffjob_position_name', 'skills_required': 'skills_required', 'education_requirements': 'educationaL_requirements', 'experience_requirements': 'experiencere_requirement', 'responsibilities': 'responsibilities', 'matched_score': 'matched_score', 'candidate_skills': 'skills'}
2026-08-01T12:18:37.820459+0500 | INFO | app.main:startup_event:324 | ✅ Loaded 9544 resumes
2026-08-01T12:18:37.923648+0500 | INFO | app.main:shutdown_event:332 | Shutting down Resume Screener
2026-08-01T12:18:40.079033+0500 | INFO | app.core.logging_config:setup_logging:63 | Logging configured for development environment
2026-08-01T12:20:59.149599+0500 | INFO | app.core.logging_config:setup_logging:63 | Logging configured for development environment
2026-08-01T12:21:25.031106+0500 | INFO | app.main:startup_event:313 | Starting Resume Screener in development mode
2026-08-01T12:21:25.031106+0500 | INFO | app.main:startup_event:314 | Database: sqlite:///./data/resume_screener.db
2026-08-01T12:21:25.031106+0500 | INFO | app.main:startup_event:319 | Ollama disabled, using rule-based extraction
2026-08-01T12:21:26.785986+0500 | INFO | app.main:startup_event:324 | ✅ Loaded 9544 resumes
2026-08-01T12:21:26.903795+0500 | INFO | app.main:shutdown_event:332 | Shutting down Resume Screener
2026-08-01T12:21:44.064124+0500 | INFO | app.core.logging_config:setup_logging:63 | Logging configured for development environment
2026-08-01T12:22:00.682598+0500 | INFO | app.main:startup_event:313 | Starting Resume Screener in development mode
